% Altitude (m),CG location (cm),Mach number
192.77,456.8,0.15382
193.3,456.8,0.15405
193.82,456.8,0.15428
194.34,456.8,0.1545
194.87,456.79,0.15473
195.39,456.79,0.15495
195.91,456.79,0.15518
196.44,456.79,0.15541
196.97,456.79,0.15563
197.5,456.78,0.15585
198.02,456.78,0.15608
198.55,456.78,0.1563
199.08,456.78,0.15652
199.61,456.78,0.15675
200.14,456.77,0.15697
200.68,456.77,0.1572
201.21,456.77,0.15742
201.74,456.77,0.15764
202.28,456.77,0.15788
202.81,456.76,0.15811
203.35,456.76,0.15834
203.89,456.76,0.15857
204.42,456.76,0.1588
204.96,456.76,0.15903
205.5,456.75,0.15926
206.04,456.75,0.15949
206.58,456.75,0.15972
207.12,456.75,0.15995
207.67,456.74,0.16019
208.21,456.74,0.16042
208.75,456.74,0.16066
209.3,456.74,0.16089
209.84,456.74,0.16113
210.39,456.73,0.16135
210.94,456.73,0.16158
211.48,456.73,0.16181
212.03,456.73,0.16203
212.58,456.73,0.16226
213.13,456.72,0.16249
213.68,456.72,0.16273
214.23,456.72,0.16296
214.78,456.72,0.16319
215.34,456.72,0.16343
215.89,456.71,0.16365
216.45,456.71,0.16387
217,456.71,0.1641
217.56,456.71,0.16432
218.11,456.71,0.16454
218.67,456.7,0.16477
219.23,456.7,0.165
219.79,456.7,0.16523
220.35,456.7,0.16546
220.91,456.7,0.16568
221.47,456.69,0.16591
222.04,456.69,0.16615
222.6,456.69,0.16638
223.16,456.69,0.16661
223.73,456.69,0.16684
224.29,456.68,0.16707
224.86,456.68,0.1673
225.43,456.68,0.16753
225.99,456.68,0.16777
226.56,456.67,0.168
227.13,456.67,0.16823
227.7,456.67,0.16846
228.27,456.67,0.1687
228.84,456.67,0.16893
229.42,456.66,0.16916
229.99,456.66,0.16939
230.56,456.66,0.16962
231.14,456.66,0.16985
231.72,456.66,0.17007
232.29,456.65,0.1703
232.87,456.65,0.17054
233.45,456.65,0.17077
234.03,456.65,0.171
234.61,456.65,0.17123
235.19,456.64,0.17146
235.77,456.64,0.1717
236.35,456.64,0.17194
236.93,456.64,0.17217
237.52,456.64,0.17241
238.1,456.63,0.17265
238.69,456.63,0.17288
239.27,456.63,0.17311
239.86,456.63,0.17334
240.45,456.63,0.17357
241.03,456.62,0.1738
241.62,456.62,0.17404
242.21,456.62,0.17428
242.8,456.62,0.17452
243.39,456.61,0.17475
243.99,456.61,0.17499
244.58,456.61,0.17523
245.17,456.61,0.17546
245.77,456.61,0.17569
246.36,456.6,0.17593
246.96,456.6,0.17616
247.56,456.6,0.1764
248.15,456.6,0.17663
248.75,456.6,0.17687
249.35,456.59,0.17711
249.95,456.59,0.17735
250.55,456.59,0.17758
251.16,456.59,0.17782
251.76,456.59,0.17806
252.36,456.58,0.1783
252.96,456.58,0.17854
253.57,456.58,0.17877
254.18,456.58,0.17901
254.78,456.57,0.17924
255.39,456.57,0.17947
256,456.57,0.1797
256.61,456.57,0.17993
257.22,456.57,0.18017
257.83,456.56,0.1804
258.44,456.56,0.18063
259.05,456.56,0.18087
259.66,456.56,0.1811
260.28,456.56,0.18134
260.89,456.55,0.18157
261.51,456.55,0.18181
262.12,456.55,0.18204
262.74,456.55,0.18228
263.36,456.55,0.18251
263.97,456.54,0.18275
264.59,456.54,0.18298
265.21,456.54,0.18322
265.84,456.54,0.18346
266.46,456.54,0.1837
267.08,456.53,0.18395
267.7,456.53,0.18419
268.33,456.53,0.18443
268.95,456.53,0.18467
269.58,456.52,0.18491
